flow_g_h,path_mm,vertical_rise_mm,radius_um,required_channels_SF3,liquid_inventory_ml,static_capillary_rise_limit_mm
150,100,0,50,1891,1.485,247.3
150,100,0,100,237,0.745,123.6
150,100,0,150,71,0.502,82.4
150,100,0,200,30,0.377,61.8
150,100,0,300,9,0.254,41.2
150,100,50,50,2370,1.862,247.3
150,100,50,100,397,1.247,123.6
150,100,50,150,178,1.258,82.4
150,100,50,200,155,1.948,61.8
150,100,50,300,inf,inf,41.2
150,100,100,50,3174,2.493,247.3
150,100,100,75,1424,2.517,164.8
150,100,100,100,1237,3.886,123.6
150,100,100,150,inf,inf,82.4
150,20,0,300,2,0.011,41.2
150,20,25,300,5,0.028,41.2
150,50,0,300,5,0.071,41.2
150,20,25,200,10,0.025,61.8
150,50,25,300,12,0.170,41.2
150,20,0,150,15,0.021,82.4
