rib_height_mm,pitch_mm,rib_width_mm,panel_fraction,renewal_gap_above_tip_mm,renewal_height_from_base_mm,panel_mass_transfer_multiplier,whole_garment_mass_transfer_multiplier
2.5,0.8,0.24,0.65,0.25,2.7333333333333334,9.112845639625036,6.273349665756274
2.5,0.8,0.24,0.65,0.5,3.0,5.284472988902515,3.7849074427866345
2.5,0.8,0.24,0.65,0.75,3.2666666666666666,3.9150621200640785,2.894790378041651
2.5,0.8,0.24,0.65,1.0,3.5,3.278019217749353,2.480712491537079
2.5,0.8,0.24,0.65,1.5,4.0,2.5514793394757485,2.008461570659237
2.5,0.8,0.24,0.65,2.0,4.5,2.176312289580494,1.7646029882273213
2.5,0.8,0.24,0.65,3.0,5.5,1.79286369291963,1.5153614003977594
2.5,0.8,0.24,0.65,5.0,7.5,1.479956041622401,1.3119714270545606
2.5,0.8,0.24,0.65,7.5,10.0,1.3214022051114582,1.2089114333224478
2.5,0.8,0.24,0.65,10.0,12.5,1.2415920061998607,1.1570348040299094
2.5,0.8,0.24,0.65,15.0,17.5,1.1614230369368739,1.104924974008968
2.5,1.0,0.25,0.65,0.25,2.75,7.700668190486994,5.355434323816546
2.5,1.0,0.25,0.65,0.5,3.0,4.920398712564561,3.5482591631669647
2.5,1.0,0.25,0.65,0.75,3.25,3.7798654672483343,2.8069125537114172
2.5,1.0,0.25,0.65,1.0,3.5,3.153653455821225,2.399874746283796
2.5,1.0,0.25,0.65,1.5,4.0,2.484743453904642,1.9650832450380173
2.5,1.0,0.25,0.65,2.0,4.5,2.132879206943079,1.7363714845130014
2.5,1.0,0.25,0.65,3.0,5.5,1.768588746204426,1.4995826850328768
2.5,1.0,0.25,0.65,5.0,7.5,1.4677608931808919,1.3040445805675798
2.5,1.0,0.25,0.65,7.5,10.0,1.3140907956822079,1.204159017193435
2.5,1.0,0.25,0.65,10.0,12.5,1.236421164727401,1.1536737570728106
2.5,1.0,0.25,0.65,15.0,17.5,1.1581867879735308,1.102821412182795
2.5,1.5,0.25,0.65,0.25,2.75,6.129081341107834,4.333902871720092
2.5,1.5,0.25,0.65,0.5,3.0,4.227834219595643,3.098092242737168
2.5,1.5,0.25,0.65,0.75,3.25,3.382383971051651,2.548549581183573
2.5,1.5,0.25,0.65,1.0,3.5,2.8901286699173085,2.2285836354462507
2.5,1.5,0.25,0.65,1.5,4.0,2.337758301302366,1.8695428958465379
2.5,1.5,0.25,0.65,2.0,4.5,2.035240216739798,1.6729061408808688
2.5,1.5,0.25,0.65,3.0,5.5,1.7128400599115863,1.463346038942531
2.5,1.5,0.25,0.65,5.0,7.5,1.4392517207228133,1.2855136184698286
2.5,1.5,0.25,0.65,7.5,10.0,1.2968417087195816,1.192947110667728
2.5,1.5,0.25,0.65,10.0,12.5,1.224165078481164,1.1457073010127565
2.5,1.5,0.25,0.65,15.0,17.5,1.1504800835582343,1.0978120543128522
