section,topology_or_lambda,nominal_gain_W,damaged_or_min_gain_W,retained_or_mean_percent,secondary_metric
random_dropout,lambda_0.000,5.634419481952223,5.387890589749356,95.62459108711143,mesh_weight=0.000
random_dropout,lambda_0.125,5.856796868568403,5.335155289315027,91.09339813281109,mesh_weight=0.125
random_dropout,lambda_0.375,5.933023796311233,5.240823371471246,88.33309205214462,mesh_weight=0.375
random_dropout,lambda_1.000,5.352356995024105,4.5493858625490295,84.99780315062,mesh_weight=1.000
localized_tear,lambda_0.125,5.856796868568403,5.517777023685298,94.21151437396577,worst_center=(0.25;0.50)
localized_tear,lambda_0.375,5.933023796311233,5.220561948343714,87.99158957679418,worst_center=(0.75;0.75)
localized_tear,parallel_stripes,5.634419481952223,5.216786269027237,92.58782179312846,worst_center=(0.50;0.75)
localized_tear,leaf_venation,5.167540330748539,4.7595297258886236,92.10435567513387,worst_center=(0.25;0.25)
localized_tear,redundant_mesh,5.352356995024105,4.553675250069095,85.07794331175003,worst_center=(0.75;0.75)
wet_pattern,blend_0p375,5.11612116505276,3.7471915238598092,,std_gain_W=1.0069826709918281
wet_pattern,mesh,4.783279374914324,3.734747127085788,,std_gain_W=0.7490316188662325
wet_pattern,directed,4.733826430821379,3.823518288562977,,std_gain_W=0.8918101659376559
wet_pattern,blend_0p125,4.848916276488549,3.491702245175659,,std_gain_W=1.0892383066571492
wet_pattern,leaf,4.465576154566899,3.4972528625023442,,std_gain_W=0.7118073671274938
