ambient_C,RH_percent,open_body_W_m2,shield_body_W_m2,selected_terminal_state,selected_body_W_m2,open_evap_capacity_g_m2_h,selected_evap_capacity_g_m2_h
35,50,110.954,-2.034,open,110.954,204.641,204.641
35,70,58.641,-2.034,open,58.641,113.249,113.249
35,85,20.396,-2.034,open,20.396,46.482,46.482
40,50,50.148,-12.209,open,50.148,152.881,152.881
40,70,-15.188,-12.209,shield,-12.209,38.834,0.000
40,85,-37.249,-12.209,shield,-12.209,0.000,0.000
45,30,66.510,-22.384,open,66.510,235.926,235.926
45,50,-17.802,-22.384,open,-17.802,88.719,88.719

radius_retention,live_channels_per_cell,installed_per_cell_for_30pct_blockage,installed_total_8cells
1.0,2,3,24
0.9,2,3,24
0.8,3,5,40
0.7,4,6,48
