protected_air_floor,mean_wet_air_scale,body_W_m2,heat_routing_gain_W,evap_capacity_g_m2_h,iterations,converged,body_vs_pressure_aware_W_m2
0.0,0.339529249921977,60.885189810959936,1.054027904376085,104.74003722151456,386,True,-51.8719896144139
0.05,0.339529249921977,60.885189810959936,1.054027904376085,104.74003722151456,386,True,-51.8719896144139
0.1,0.339529249921977,60.885189810959936,1.054027904376085,104.74003722151456,386,True,-51.8719896144139
0.15,0.339529249921977,60.885189810959936,1.054027904376085,104.74003722151456,386,True,-51.8719896144139
0.2,0.339529249921977,60.885189810959936,1.054027904376085,104.74003722151456,386,True,-51.8719896144139
0.25,0.339529249921977,60.885189810959936,1.054027904376085,104.74003722151456,386,True,-51.8719896144139
0.3,0.3547813714684131,63.2511994368333,1.125336054470729,108.85377317265147,385,True,-49.50597998854053
0.35,0.37734684284854336,66.4852437362187,1.2327244861615736,114.61447300834891,385,True,-46.27193568915513
0.4,0.4092653038446676,70.65918381564066,1.3731077539894225,122.27185786700471,384,True,-42.097995609733175
0.45,0.45205010237206056,75.82759199533373,1.5529220486498096,132.0179267537177,383,True,-36.9295874300401
0.5,0.5000525044648457,81.32031619871795,1.7686134185273692,142.58691462884735,383,True,-31.436863226655888
0.55,0.5499999999999998,86.7801857255109,2.0094916919719035,153.2810104447832,382,True,-25.97699369986293
0.6,0.6000000000000001,91.94067827181885,2.251321152841819,163.61992935164375,381,True,-20.81650115355498
0.65,0.65,96.82248476172794,2.4924072068147236,173.62463718760287,380,True,-15.9346946636459
0.7,0.7000000000000002,101.45085428223949,2.7319933313621863,183.3259135373948,380,True,-11.306325143134345
0.75,0.75,105.84782251051041,2.9694967778569863,192.7505350282964,379,True,-6.909356914863423
0.8,0.7999999999999998,110.03268514931669,3.204463786099537,201.92194812318496,379,True,-2.7244942760571433
0.85,0.8499999999999999,114.02249191796321,3.436553216897266,210.86079354537722,378,True,1.2653124925893735
0.9,0.9000000000000001,117.83232787365338,3.665501081809723,219.5853433305096,378,True,5.075148448279549
0.95,0.9500000000000001,121.4756576489005,3.8911194820389734,228.1118434984247,377,True,8.71847822352666
1.0,1.0,124.96449735730438,4.113265480297548,236.4548085906897,377,True,12.207317931930547
