M,n_stable_roots,warm_surface_C,warm_body_cooling_W,warm_gain_vs_flat_W,warm_evap_g_h,cool_surface_C,cool_body_cooling_W,cool_gain_vs_flat_W,cool_evap_g_h
1.000000,1,33.805994,5.820169,0.976288,12.530522,33.805994,5.820169,0.976288,12.530522
1.300000,1,33.754014,7.379571,2.535690,15.176515,33.754014,7.379571,2.535690,15.176515
1.660000,1,33.702971,8.910859,4.066977,17.791796,33.702971,8.910859,4.066977,17.791796
2.200000,1,33.646103,10.616918,5.773037,20.725920,33.646103,10.616918,5.773037,20.725920
3.000000,1,33.594864,12.154074,7.310193,23.387774,33.594864,12.154074,7.310193,23.387774
3.400000,1,33.579555,12.613355,7.769474,24.186074,33.579555,12.613355,7.769474,24.186074
3.500000,2,33.576497,12.705100,7.861219,24.345658,33.347576,19.572725,14.728844,36.545968
3.550000,2,33.575067,12.748005,7.904123,24.420297,33.311137,20.665900,15.822019,38.530425
3.900000,2,33.566660,13.000204,8.156323,24.859097,33.157571,25.272857,20.428976,47.037604
4.000000,2,33.564704,13.058891,8.215010,24.961201,33.122159,26.335229,21.491348,49.034792
5.000000,2,33.552301,13.430982,8.587101,25.607717,32.826730,35.198113,30.354232,66.299013
7.500000,2,33.543910,13.682710,8.838828,26.039022,32.290464,51.286068,46.442187,101.357899
9.000000,2,33.542795,13.716153,8.872271,26.092573,32.049206,58.523835,53.679954,119.444501
9.500000,2,33.542599,13.722024,8.878142,26.101270,31.978460,60.646210,55.802328,125.126018
9.700000,2,33.542535,13.723940,8.880059,26.104004,31.951342,61.459751,56.615870,127.356369
9.770000,2,33.542515,13.724562,8.880681,26.104877,31.942003,61.739923,56.896042,128.131546
9.780000,1,31.940675,61.779758,56.935877,128.242059,31.940675,61.779758,56.935877,128.242059
10.000000,1,31.911857,62.644297,57.800416,130.659250,31.911857,62.644297,57.800416,130.659250
