collector_radius_um,trunk_pitch_mm,worst_margin_ratio,all_sampled_offsets_pass_SF3
20,10,10.61,true
20,15,4.78,true
20,20,2.80,false
20,30,1.41,false
20,60,0.75,false
25,10,20.42,true
25,15,9.24,true
25,20,5.42,true
25,30,2.74,false
25,60,1.46,false
30,10,34.56,true
30,15,15.72,true
30,20,9.24,true
30,30,4.69,true
30,60,2.51,false
35,10,53.27,true
35,15,24.44,true
35,20,14.39,true
35,30,7.38,true
35,60,3.95,true
40,10,76.31,true
40,15,35.45,true
40,20,20.96,true
40,30,10.87,true
40,60,5.86,true
50,10,131.60,true
50,15,63.58,true
50,20,38.11,true
50,30,20.54,true
50,60,11.29,true
